scientificName,PopulationSize.range
Pselliophorus luteoviridis,6000-15000
Basileuterus griseiceps,1500-7000
Myiothlypis basilica,600-1700
Basileuterus ignotus,600-1700
Habia atrimaxillaris,6000-15000
Bangsia melanochlamys,600-1700
Cnemathraupis aureodorsalis,250-2500
Wetmorethraupis sterrhopteron,6000-15000
Tangara fastuosa,2500-9999
Dacnis berlepschi,NA
Microspingus alticola,600-1700
Poospiza baeri,1500-7000
Sporophila nigrorufa,600-1700
Geospiza psittacula,U
Geospiza pallida,U
Pinaroloxias inornata,6000-15000
Otus alfredi,250-2499
Caprimulgus solala,U
Phylloscartes beckeri,2500-9999
Phapitreron brunneiceps,2500-9999
Calicalicus rufocarpalis,250-999
Cyanoramphus forbesi,250-999
Glaucidium nubicola,1500-7000
Grallaria ridgelyi,150-700
Otus beccarii,2500-9999
Phibalura boliviana,400-530
Ninox leventisi,250-999
Eurostopodus nigripennis,1000-2499
Ramphastos vitellinus,NA
Ramphastos ariel,NA
Ramphastos culminatus,NA
Otidiphaps insularis,600-1700
Trichoglossus rosenbergii,2500-9999
Celeus tinnunculus,U
Chrysocolaptes strictus,2500-9999
Chrysocolaptes erythrocephalus,1000-2499
Oxypogon stuebelii,250-999
Actenoides bougainvillei,250-999
Meiglyptes tristis,1000-2499
Arborophila charltonii,2500-9999
Lophura erythrophthalma,10000-19999
Lophura pyronota,10000-19999
Prioniturus mindorensis,2500-9999
Coracopsis barklyi,340-600
Actenoides regalis,2500-9999
Otidiphaps aruensis,2500-9999
Pteroglossus bitorquatus,U
Treron griveaudi,1000-2499
Rhizothera dulitensis,1000-2499
Chlorodrepanis flava,13000-40000
Circus maillardi,200-560
Zoothera turipavae,250-999
Phyllomyias urichi,600-1700
Scytalopus iraiensis,250-999
Megapodius geelvinkianus,2500-9999
Aerodramus bartschi,2500-9999
Doliornis sclateri,1500-7000
Zimmerius villarejoi,2500-9999
Capito wallacei,250-999
Poecilotriccus luluae,1500-7000
Clanga hastata,2500-9999
Monticola erythronotus,3300
Threskiornis bernieri,1500-1850
Otus thilohoffmanni,150-700
Gallirallus calayanensis,2500-4300
Amaurornis magnirostris,2500-9999
Buteo socotraensis,250-500
Struthio molybdophanes,U
Hemiphaga chathamensis,250-999
Thamnophilus tenuepunctatus,U
Aglaiocercus berlepschi,1500-7000
Pyrrhura pfrimeri,NA
Nisaetus pinskeri,600-800
Pomarea mendozae,160-250
Garrulax bicolor,2500-9999
Clytorhynchus sanctaecrucis,250-999
Turnix novaecaledoniae,1-49
Polyplectron katsumatae,250-999
Nesospiza questi,9000
Sholicola major,U
Passer hemileucus,250-999
Rostratula australis,600-1700
Nesospiza acunhae,23400
Nesospiza wilkinsi,50-249
Phyllomyias weedeni,2500-9999
Scytalopus diamantinensis,U
Icterus northropi,93-180
Chasiempis ibidis,1261
Chasiempis sandwichensis,216000
Grallaricula cumanensis,NA
Scytalopus canus,250-999
Goura scheepmakeri,2500-9999
Nisaetus philippensis,400-600
Crax fasciolata,U
Malacoptila minor,U
Pyrrhura amazonum,U
Pyrrhura snethlageae,U
Pyrrhura subandina,1-49
Pyrrhura caeruleiceps,1000-2499
Pyrrhura eisenmanni,1000-2499
Ninox malaitae,2500-9999
Ninox roseoaxillaris,2500-9999
Psophia dextralis,U
Psophia viridis,U
Ceyx melanurus,10000-19999
Ceyx mindanensis,2500-9999
Neomorphus geoffroyi,U
Pionites leucogaster,U
Pionites xanthurus,U
Aratinga solstitialis,1000-2499
Prosobonia parvirostris,900
Vini peruviana,5000-7000
Grallaricula ochraceifrons,150-700
Erythropitta inspeculata,2500-9999
Erythropitta caeruleitorques,50-249
Erythropitta palliceps,50-249
Erythropitta splendida,250-999
Pitta rosenbergii,2500-9999
Grallaria saltuensis,2500-9999
Dendrocolaptes punctipectus,2500-9999
Premnoplex pariae,2400
Asthenes usheri,2500-9999
Gerygone hypoxantha,2500-9999
Ceblepyris cucullatus,1000-2499
Lalage conjuncta,2500-9999
Cyanolanius comorensis,U
Symposiachrus ateralbus,2500-7000
Petroica dannefaerdi,250-999
Hypsipetes moheliensis,1000-2499
Phylloscopus maforensis,2500-9999
Phylloscopus misoriensis,2500-9999
Poodytes caudatus,3000
Zosterops saypani,NA
Mixornis prillwitzi,2500-9999
Rhabdornis rabori,2500-9999
